　诱捕正义,　2021,　美国,　惊悚,　约瑟夫·久保田·瓦拉达卡,　,jianpian://pathtype=url&path=ftp://a.gbl.114s.com:20320/6933/诱捕正义-2021_BD中英双字.mp4
　你所知道的邪恶,　2022,　美国,　惊悚,　查尔斯·默里,　,jianpian://pathtype=url&path=ftp://a.gbl.114s.com:20320/3349/你所知道的邪恶-2022_BD中英双字.mp4
　Lakewood,　2021,　美国,　惊悚,　菲利普·诺伊斯,　,jianpian://pathtype=url&path=ftp://a.gbl.114s.com:20320/4773/莱克伍德-2021_BD中英双字.mp4
　킹덤：아신전,　2021,　韩国,　恐怖/古装/剧情,　金成勋,　,jianpian://pathtype=url&path=ftp://a.gbl.114s.com:20320/6386/王国：北方的阿信-2021_BD韩语中字.mp4
　人蛇大战,　2022,　中国大陆,　惊悚/灾难/冒险,　玉素,　,jianpian://pathtype=url&path=ftp://a.gbl.114s.com:20320/5962/人蛇大战-2022_HD国语中字.mp4
　Pahanhautoja,　2022,　芬兰/瑞典,　恐怖,　汉娜·伯格霍尔姆,　,jianpian://pathtype=url&path=ftp://a.gbl.114s.com:20320/7414/孵化-2022_BD中英双字.mp4
　Ilargi Guztiak,　2021,　西班牙/法国,　惊悚/奇幻,　伊戈尔·拉格瑞塔,　,jianpian://pathtype=url&path=ftp://a.gbl.114s.com:20320/9503/无尽的月-2021_BD中英双字.mp4
　Every Breath You Take,　2021,　美国,　惊悚,　沃恩·斯坦,　,jianpian://pathtype=url&path=ftp://a.gbl.114s.com:20320/8515/你的每一次呼吸-2021_BD英语中字.mp4
　猎战,　2022,　美国,　恐怖/奇幻,　Mauro Borrelli,　,jianpian://pathtype=url&path=ftp://a.gbl.114s.com:20320/8639/猎战-2022_BD中英双字.mp4
　The Exorcism of God,　2021,　墨西哥/美国,　恐怖,　Alejandro Hidalgo,　,jianpian://pathtype=url&path=ftp://a.gbl.114s.com:20320/0442/上帝的驱魔-2021_BD中英双字.mp4
　连环扣,　2022,　印度,　惊悚/剧情,　Suresh Triveni,　,jianpian://pathtype=url&path=ftp://a.gbl.114s.com:20320/2684/连环扣-2022_HD印地语中字.mp4
　강철비2: 정상회담,　2020,　韩国,　惊悚,　杨宇硕,　,jianpian://pathtype=url&path=ftp://a.gbl.114s.com:20320/7897/铁雨2：首脑峰会-2020_HD韩语中字.mkvjianpian://pathtype=url&path=ftp://a.gbl.114s.com:20320/0935/铁雨2：首脑峰会-2020_蓝光韩语中字.mp4
　哭悲,　2021,　中国台湾,　恐怖,　贾宥廷,　,jianpian://pathtype=url&path=ftp://a.gbl.114s.com:20320/1285/哭悲-2021_HD国语中字.mp4jianpian://pathtype=url&path=ftp://a.gbl.114s.com:20320/7858/哭悲-2021_蓝光国语中字.mp4
　Choose or Die,　2022,　英国,　惊悚/恐怖/剧情,　托比·米金斯,　,jianpian://pathtype=url&path=ftp://a.gbl.114s.com:20320/7690/恐怖循环-2022_BD中英双字.mp4
